기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-07,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-08,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,1,4800,4800
2026-07-09,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,4,4800,19200
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,3,4800,14400
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,5,4800,24000
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,1,4800,4800
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,3,4800,14400
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,4,4800,19200
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,1,4800,4800
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,2,4800,9600
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-04,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,1,5500,5500
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,4,5500,22000
2026-07-08,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,1,5500,5500
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,5,5500,27500
2026-07-18,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-19,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,3,5500,16500
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,6,5500,33000
